"GSM2462948","GSM2462949","GSM2462950","GSM2462951","GSM2462952","GSM2462953","GSM2462954","GSM2462955","GSM2462956","GSM2462957","GSM2462958","GSM2462959","GSM2462960","GSM2462961","GSM2462962","GSM2462963","GSM2462964","GSM2462965","GSM2462966","GSM2462967"
"1415765_at",232.767,355.899,314.859,295.928,443.083,351.34,524.436,383.174,496.994,480.343,546.088,456.076,452.058,492.423,540.907,413.101,353.211,362.787,391.055,465.953
"1415766_at",281.351,381.664,324.576,264.051,414.643,376.366,442.37,358.082,439.392,487.876,443.458,398.754,424.421,450.156,460.19,397.383,348.073,320.637,359.151,380.515
"1415767_at",358.275,345.847,245.739,237.187,418.468,312.302,364.735,356.934,535.139,544.485,462.401,443.648,449.535,483.355,472.29,320.841,337.676,366.176,358.646,353.33
"1415768_a_at",1274.04,1826.11,1140.63,1309.03,2009.02,1553.23,1726.2,1406.21,1900.66,2068.32,1947.67,1849.86,2006.41,1863.86,2097.85,1568.09,1571.79,1428.15,1585.93,1629.15
"1415769_at",404.856,581.364,435.144,392.629,543.431,433.418,536.376,454.522,632.764,612.199,555.51,472.413,540.919,530.526,534.23,442.053,412.127,411.728,460.546,462.854
"1415770_at",41.3711,79.1902,50.8621,37.5131,73.7426,94.2816,122.881,77.1392,121.645,90.2148,147.789,127.72,108.249,107.415,137.005,74.8209,88.7247,72.9684,85.6874,107.581
"1415771_at",1207.5,1624.19,1240.22,1123.08,1980.02,962.319,1522.77,1265.67,1568.15,1569.44,1855.69,1646.71,1775.53,1606.41,1736.81,1313.22,1267.78,1216.91,1228.9,1503.64
"1415772_at",79.4154,112.609,70.2279,60.3479,110.73,77.2327,87.8372,92.1435,119.387,120.269,103.795,119.837,78.2474,100.763,124.767,81.5833,75.8702,64.4567,95.9377,88.2954
"1415773_at",124.491,240.736,169.802,163.469,257.435,233.393,259.246,285.694,433.444,395.101,344.534,376.263,400.784,352.942,389.812,215.691,218.918,235.721,335.744,205.457
"1415774_at",33.5921,28.2993,25.9914,39.0752,29.3746,52.5905,31.0759,27.9757,56.3198,57.6801,95.6341,64.1557,78.332,65.8844,60.6434,40.5697,18.9989,26.884,52.1618,20.2096
"1415775_at",1434.83,1432.24,1199.47,1133.94,1788.05,1795.83,1938.64,1894.45,1879.91,2170.11,1689.11,1605.77,1818.23,1700.18,1713.74,1638.14,1506.49,1658.73,1860.33,1703.35
"1415776_at",2173.03,2024.46,1734.62,1705.88,4294.46,2143.86,3276.03,2320.17,3924.83,3115.22,2497.59,3287.09,2230.09,3115.88,2762.7,1888.1,2266.88,1911.37,2246.35,3184.33
"1415777_at",1.62854,5.46276,0.482524,0.364934,2.15859,7.64624,1.73156,1.64727,2.63676,8.38567,1.07791,8.1929,1.54781,2.39239,0.489819,0.822156,0.654387,2.34878,5.95778,17.4301
"1415778_at",1090.23,1282.49,1020.86,1002.35,1889.16,1144.18,1486.89,1229.56,1594.32,1711.47,1657.68,1644.27,1672.33,1369.22,1808.63,1256.35,1225.45,1306.18,1548.96,1503.44
"1415779_s_at",1986.02,2348.15,2240.7,2005.7,3195.84,2651.21,4744.9,3943.76,4686.84,4247.25,4071.32,3828.74,3360.09,3755.08,4537.97,3955.9,2951.1,2776.87,3812.96,3975.96
"1415780_a_at",15.3811,14.2827,31.5741,11.891,33.4671,34.7807,82.8534,66.8581,65.6008,79.1695,73.6648,101.861,46.4753,59.9733,74.9927,47.4907,78.1574,45.8312,63.9859,92.4063
"1415781_a_at",3539.77,3414.11,2838.11,2788.44,4390.07,3769.03,4372.66,4111.92,4496.63,4637.05,4772.66,4374.6,4527.6,4283.94,4561.94,4394.41,3695.36,3508.8,4083.79,4766.42
"1415782_at",915.843,1268.34,947.273,922.364,1332.62,1514.75,1614.52,1591.6,1789.2,1768.57,1700.98,1610.12,1844.34,1526.32,1780.47,1280.98,1300.77,1228.45,1605.41,1480.33
"1415783_at",957.851,1107.22,826.419,769.87,1244.56,1196.62,1548.97,1485.14,1769.2,1705.92,1565.34,1616.19,1506.67,1628.88,1574.41,1163.36,1192.39,1250.06,1490.22,1369.08
"1415784_at",21.3045,19.1611,19.821,9.41329,23.3618,31.675,19.6093,41.3376,35.6775,33.9349,31.7017,39.8202,34.3401,34.4479,40.8975,19.8523,29.6533,25.4317,27.8521,18.6934
"1415785_a_at",675.985,936.386,664.66,580.383,1126.66,726.238,981.444,850.979,1203.11,1215.51,1096.99,1069.19,1112.24,1074.63,1158.41,757.43,754.466,793.259,922.496,896.771
"1415786_at",2.74904,11.5289,5.32522,16.7188,8.53114,0.399894,0.711064,0.450548,13.4843,4.27415,7.41027,10.4406,5.9759,12.6995,5.11181,4.96273,6.09617,8.36971,13.3917,15.2693
"1415787_at",264.512,416.119,358.837,283.73,477.814,336.915,329.796,333.285,437.594,510.424,541.068,362.023,500.315,394.752,459.194,408.612,318.859,342.428,411.312,295.139
"1415788_at",505.103,493.762,409.601,309.894,677.671,516.515,561.095,406.872,583.545,713.946,598.186,559.382,586.714,425.925,536.676,430.987,435.285,521.11,445.6,449.649
"1415789_a_at",75.8038,61.5967,47.6347,40.2717,75.3957,123.988,102.817,126.337,123.095,173.08,107.694,117.754,109.476,134.279,100.282,70.4774,62.82,86.9333,96.7511,95.1559
"1415790_at",46.3857,74.8255,45.0708,58.956,87.4245,98.2559,82.5345,109.165,128.392,118.502,113.501,108.488,101.181,118.195,103.491,62.5851,80.5253,76.3932,83.5156,74.8419
"1415791_at",99.7402,106.407,97.585,91.3846,144.589,153.392,164.495,175.036,191.637,181.954,194.155,176.746,215.506,183.95,201.675,138.47,122.923,130.367,146.584,135.972
"1415792_at",197.686,386.604,277.925,266.636,274.826,230.756,275.229,220.758,306.109,327.145,271.259,298.565,322.846,310.973,314.357,285.945,251.332,301.896,253.975,280.712
"1415793_at",1486.91,2712.31,1820.76,1834.74,2009.74,1523.72,1607.35,1578.04,1693.99,1958.1,1930.78,1855.48,2243.86,1817.99,1948.6,1523.36,1520.67,1541.72,1804.13,1349.25
"1415794_a_at",851.768,1175.16,854.189,814.524,1003.97,1013.52,1225.59,1102.47,1374.72,1495.83,1350.83,1434.53,1582.1,1310.75,1440.02,1127.55,942.398,1069.24,1227.24,1098.16
"1415795_at",73.8931,106.186,98.5996,76.2475,93.4531,72.7189,113.614,100.589,111.284,132.392,106.757,121.953,132.666,104.063,116.279,93.6697,86.8569,91.6024,101.963,78.3307
"1415796_at",1501.69,1645.44,1300.38,1216.06,2179.33,1791.37,2083.94,1951.99,2269.33,2336.73,2387,2291.12,2411.33,2188.69,2280.4,2092.79,1665.27,1790.45,2001.43,1995.7
"1415797_at",1.9283,16.1572,4.39646,2.06861,11.1305,29.794,15.6041,4.23735,24.1134,24.659,24.904,43.039,28.8511,10.9259,24.7565,3.96244,10.472,4.64112,25.3444,44.8062
"1415798_at",2.66997,3.60759,3.3528,1.18944,1.22967,1.97172,12.4488,6.34475,4.28998,2.83448,19.6859,8.57755,3.40423,3.35059,2.54809,2.03822,2.00599,1.35211,16.8995,4.86328
"1415799_at",273.099,404.82,290.954,263.986,394.264,377.556,443.7,428.012,524.153,518.126,493.96,518.575,533.918,460.91,482.139,361.857,378.588,350.491,445.839,354.441
"1415800_at",66.8842,74.4643,87.7807,117.454,184.801,110.472,217.906,208.505,320.364,238.629,185.243,204.216,243.192,195.372,233.239,132.633,160.157,131.119,194.589,203.118
"1415801_at",7.23606,2.7101,5.26272,2.17886,9.21195,2.62392,15.3267,7.4906,8.90915,2.80344,10.5828,2.27045,5.77963,3.65621,1.13542,7.69107,1.83364,10.8476,3.50088,1.72335
"1415802_at",1596.73,1149.83,843.198,779.319,2963.97,1287.36,2991.44,2001.91,2886.2,2396.3,2786.42,3049.45,2681.68,2702.06,2308.8,1690.09,1577.09,1828.59,1848.84,2784.22
"1415803_at",13.369,14.301,9.86703,20.4531,21.8801,26.2174,47.053,10.6556,28.5349,25.3685,38.2565,52.4631,26.0505,34.4319,31.1805,30.0578,12.2845,17.4622,29.2987,29.7384
"1415804_at",17.1758,3.56193,12.4503,11.0931,1.6576,14.4748,2.53935,5.95247,5.21335,1.04832,3.32691,8.1381,5.43346,12.2819,1.11664,10.6539,15.3454,15.0707,15.5674,6.03424
"1415805_at",15.1011,30.3862,15.352,24.2136,10.059,2.06259,10.7281,18.6973,13.18,12.4286,8.31517,10.7454,8.80512,15.2192,4.96251,8.94469,8.47021,0.89521,19.7941,15.058
"1415806_at",8.96871,8.01743,8.62466,9.33679,20.0592,42.9385,82.3623,23.8748,49.8133,42.5206,51.5797,113.088,26.3252,67.4863,96.6673,20.6435,26.9707,21.0725,60.7929,108.373
"1415807_s_at",90.2448,117.782,104.612,90.8109,182.506,198.244,199.118,206.186,229.212,208.173,220.875,221.65,236.432,186.956,233.178,153.354,124.801,181.546,194.695,126.704
